Datetime,Open,High,Low,Close,Adj Close,Volume
2024-08-05 09:15:00+05:30,24323.69921875,24346.30078125,24300.05078125,24331.599609375,24331.599609375,0
2024-08-05 09:16:00+05:30,24323.19921875,24330.30078125,24302.19921875,24305.80078125,24305.80078125,0
2024-08-05 09:17:00+05:30,24304.94921875,24312.19921875,24288.150390625,24300.44921875,24300.44921875,0
2024-08-05 09:18:00+05:30,24301.5,24319.400390625,24298.0,24304.30078125,24304.30078125,0
2024-08-05 09:19:00+05:30,24303.650390625,24308.650390625,24297.0,24301.30078125,24301.30078125,0
2024-08-05 09:20:00+05:30,24301.30078125,24301.30078125,24280.5,24284.55078125,24284.55078125,0
2024-08-05 09:21:00+05:30,24283.25,24285.30078125,24264.599609375,24264.69921875,24264.69921875,0
2024-08-05 09:22:00+05:30,24266.44921875,24266.44921875,24242.900390625,24242.900390625,24242.900390625,0
2024-08-05 09:23:00+05:30,24241.0,24248.599609375,24232.349609375,24242.900390625,24242.900390625,0
2024-08-05 09:24:00+05:30,24248.05078125,24253.849609375,24228.75,24229.5,24229.5,0
2024-08-05 09:25:00+05:30,24229.19921875,24239.75,24214.599609375,24218.150390625,24218.150390625,0
2024-08-05 09:26:00+05:30,24216.25,24239.69921875,24211.44921875,24219.30078125,24219.30078125,0
2024-08-05 09:27:00+05:30,24220.349609375,24230.30078125,24215.05078125,24223.650390625,24223.650390625,0
2024-08-05 09:28:00+05:30,24225.5,24235.5,24219.69921875,24220.80078125,24220.80078125,0
2024-08-05 09:29:00+05:30,24216.55078125,24217.69921875,24212.30078125,24216.55078125,24216.55078125,0
2024-08-05 09:30:00+05:30,24215.5,24227.150390625,24193.25,24201.849609375,24201.849609375,0
2024-08-05 09:31:00+05:30,24203.650390625,24218.05078125,24198.900390625,24214.30078125,24214.30078125,0
2024-08-05 09:32:00+05:30,24217.25,24238.099609375,24213.75,24233.900390625,24233.900390625,0
2024-08-05 09:33:00+05:30,24234.400390625,24274.05078125,24234.400390625,24267.30078125,24267.30078125,0
2024-08-05 09:34:00+05:30,24267.75,24273.400390625,24255.5,24258.900390625,24258.900390625,0
2024-08-05 09:35:00+05:30,24255.5,24262.5,24244.599609375,24252.650390625,24252.650390625,0
2024-08-05 09:36:00+05:30,24252.75,24255.099609375,24235.55078125,24241.150390625,24241.150390625,0
2024-08-05 09:37:00+05:30,24241.25,24243.30078125,24234.900390625,24241.349609375,24241.349609375,0
2024-08-05 09:38:00+05:30,24241.849609375,24254.05078125,24239.55078125,24241.69921875,24241.69921875,0
2024-08-05 09:39:00+05:30,24240.650390625,24249.05078125,24230.150390625,24230.150390625,24230.150390625,0
2024-08-05 09:40:00+05:30,24230.30078125,24240.599609375,24227.849609375,24235.75,24235.75,0
